Time,W1118_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['0.2926', '0.4389', 'NS']"
2.5,"['0.3724', '0.5131', 'NS']"
3.0,"['0.3993', '0.5131', 'NS']"
3.5,"['0.4153', '0.5131', 'NS']"
4.0,"['0.1446', '0.2531', 'NS']"
4.5,"['0.1003', '0.2106', 'NS']"
5.0,"['0.1003', '0.2106', 'NS']"
5.5,"['0.1629', '0.2631', 'NS']"
6.0,"['0.1287', '0.2456', 'NS']"
6.5,"['0.0277', '0.1151', 'NS']"
7.0,"['0.0170', '0.1151', 'NS']"
7.5,"['0.0277', '0.1151', 'NS']"
8.0,"['0.0236', '0.1151', 'NS']"
8.5,"['0.0407', '0.1151', 'NS']"
9.0,"['0.0438', '0.1151', 'NS']"
9.5,"['0.0377', '0.1151', 'NS']"
10.0,"['0.0236', '0.1151', 'NS']"
