Time,CLK_Out_w1
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']"
2.5,"['0.4218', '0.6813', 'NS']"
3.0,"['0.4694', '0.7040', 'NS']"
3.5,"['0.7692', '1.0000', 'NS']"
4.0,"['0.5820', '0.8148', 'NS']"
4.5,"['0.1320', '0.2772', 'NS']"
5.0,"['0.0725', '0.1691', 'NS']"
5.5,"['0.1475', '0.2816', 'NS']"
6.0,"['0.0637', '0.1673', 'NS']"
6.5,"['0.0370', '0.1295', 'NS']"
7.0,"['0.0321', '0.1295', 'NS']"
7.5,"['0.0321', '0.1295', 'NS']"
8.0,"['0.0054', '0.1134', 'NS']"
8.5,"['0.0108', '0.1134', 'NS']"
9.0,"['0.0277', '0.1295', 'NS']"
9.5,"['0.0559', '0.1673', 'NS']"
10.0,"['0.2969', '0.5196', 'NS']"
