Time,Glaz_V106955_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['0.4652', '0.5747', 'NS']"
2.5,"['0.4652', '0.5747', 'NS']"
3.0,"['0.1041', '0.1457', 'NS']"
3.5,"['0.0446', '0.0668', 'NS']"
4.0,"['0.0169', '0.0273', '*']"
4.5,"['0.0169', '0.0273', '*']"
5.0,"['0.0055', '0.0152', '*']"
5.5,"['0.0055', '0.0152', '*']"
6.0,"['0.0055', '0.0152', '*']"
6.5,"['0.0055', '0.0152', '*']"
7.0,"['0.0067', '0.0152', '*']"
7.5,"['0.0067', '0.0152', '*']"
8.0,"['0.0067', '0.0152', '*']"
8.5,"['0.0080', '0.0152', '*']"
9.0,"['0.0080', '0.0152', '*']"
9.5,"['0.0080', '0.0152', '*']"
10.0,"['0.0080', '0.0152', '*']"
