Time,Glaz_BL31081_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']"
2.5,"['0.0533', '0.0700', 'NS']"
3.0,"['0.0185', '0.0259', '*']"
3.5,"['0.0185', '0.0259', '*']"
4.0,"['0.0056', '0.0107', '*']"
4.5,"['0.0056', '0.0107', '*']"
5.0,"['0.0056', '0.0107', '*']"
5.5,"['0.0015', '0.0087', '**']"
6.0,"['0.0015', '0.0087', '**']"
6.5,"['0.0021', '0.0087', '**']"
7.0,"['0.0021', '0.0087', '**']"
7.5,"['0.0021', '0.0087', '**']"
8.0,"['0.0034', '0.0102', '*']"
8.5,"['0.0034', '0.0102', '*']"
9.0,"['0.0074', '0.0129', '*']"
9.5,"['0.0178', '0.0259', '*']"
10.0,"['0.0047', '0.0107', '*']"
